,retweet_count,favorite_count,followers_count,predict_class_label,Date_class
0,254,814,43,4,0
1,0,2,0.136,2,4
2,1,0,0.0364,4,3
3,14,0,1.43,4,1
4,685,0,0.435,1,2
5,7,0,0.435,1,3
6,287,1537,6.82,2,1
7,1,4,1.43,4,3
8,1094,0,0.435,1,2
9,18,0,0.435,3,0
10,50,0,6.82,1,3
11,18,0,0.435,3,0
12,10,44,1.43,4,2
13,2576,0,6.82,4,0
14,13,0,0.0364,4,3
15,4302,0,0.435,1,3
16,113,0,43,2,0
17,30,139,6.82,4,1
18,16,0,1.43,1,2
19,1538,2184,43,2,2
20,211,602,43,2,2
21,0,10,0.0364,4,4
22,53,246,1.43,3,3
23,0,2,0.0364,4,0
24,10,65,0.136,2,3
25,7,16,0.136,2,3
26,125,425,0.435,4,0
27,3,37,1.43,4,3
28,1,1,0.136,4,4
29,2733,4972,43,2,4
30,5,7,0.136,4,4
31,1,0,0.435,1,3
32,951,0,0.435,4,3
33,1293,880,43,2,3
34,18597,66277,43,4,4
35,367,1247,6.82,2,3
36,66,178,1.43,2,0
37,14,38,0.136,4,4
38,6181,0,0.0364,4,3
39,25,0,0.435,4,2
40,193,0,0.435,3,3
41,110,0,0.435,4,3
42,124,0,6.82,1,3
43,0,1,0.0364,2,3
44,13,52,0.136,4,3
45,2,4,0.0364,2,4
46,9,28,0.435,1,1
47,4,20,0.0364,4,0
48,3314,0,0.435,1,0
49,3,0,1.43,4,1
50,580,0,1.43,1,3
51,1,11,0.136,3,4
52,19,0,0.435,1,3
53,171,480,43,2,4
54,1,5,1.43,2,1
55,11,0,6.82,1,0
56,5,0,0.435,4,2
57,4087,37633,43,4,3
58,35,0,0.435,1,0
59,9,0,0.435,4,3
60,65,0,0.0364,4,3
61,0,0,0.0364,4,0
62,7,8,0.136,3,0
63,225,0,0.435,1,0
64,1104,1105,43,2,4
65,512,2393,6.82,4,1
66,97,804,6.82,2,0
67,330,0,0.0364,3,4
68,749,0,0.435,1,3
69,3532,0,0.435,4,1
70,19,148,6.82,4,1
71,68,0,0.435,1,3
72,411,1303,1.43,4,3
73,0,1,0.136,4,4
74,3348,0,43,2,0
75,9,16,0.136,1,0
76,1179,0,0.136,1,3
77,9,11,0.136,4,3
78,6,32,0.136,3,0
79,219,1129,6.82,1,2
80,6,19,0.136,4,0
81,1,8,0.136,3,3
82,5,160,6.82,4,2
83,0,1,0.0364,2,0
84,24,172,6.82,4,0
85,10,0,0.435,2,3
86,25,0,0.0364,2,0
87,2,5,0.435,1,0
88,295,328,43,2,0
89,1436,1814,43,1,3
90,0,0,0.0364,2,0
91,2,0,0.435,2,3
92,7,10,0.136,4,4
93,3,7,0.136,3,4
94,175,0,43,4,3
95,254,1850,6.82,4,0
96,0,1,0.136,2,0
97,285,0,0.0364,4,3
98,13,0,0.435,1,2
99,12,0,0.136,2,3
100,1164,0,0.435,4,1
101,6,0,0.136,1,0
102,182,756,43,1,3
103,654,4456,43,4,0
104,4333,16574,43,2,3
105,5,12,0.136,4,0
106,0,6,1.43,3,3
107,6111,16088,43,2,0
108,129,399,43,2,4
109,0,1,0.0364,4,3
110,664,0,43,2,0
111,46,181,0.435,1,0
112,2,3,0.136,4,3
113,13,0,0.435,4,0
114,5,0,0.0364,4,4
115,17,0,1.43,3,0
116,9,0,0.136,1,0
117,70,0,6.82,1,0
118,0,0,1.43,2,3
119,1,12,1.43,2,2
120,0,0,0.0364,4,4
121,2,15,0.136,3,0
122,0,6,6.82,3,1
123,0,1,0.136,2,3
124,580,353,43,2,3
125,214,0,0.435,3,1
126,422,4820,43,2,3
127,1,13,0.0364,4,3
128,2109,0,1.43,1,3
129,1065,6764,6.82,4,3
130,2579,0,0.435,1,1
131,42,0,0.0364,4,3
132,16,0,1.43,2,4
133,0,9,1.43,2,2
134,279,310,43,4,2
135,21,38,1.43,4,1
136,11,45,1.43,4,3
137,0,1,0.136,4,4
138,0,43,6.82,4,1
139,0,1,0.0364,4,3
140,8,14,0.136,2,3
141,659,5324,43,1,4
142,71,0,0.435,3,2
143,48,135,0.435,2,0
144,13,31,0.136,1,0
145,23,0,0.435,1,3
146,3894,13811,6.82,3,1
147,593,1348,0.435,4,0
148,15,39,0.435,1,3
149,15504,38861,43,2,0
150,3,0,0.0364,4,2
151,1039,2468,43,4,4
152,0,2,0.0364,3,0
153,258,0,0.435,2,1
154,4,8,0.136,3,3
155,21,78,0.136,2,3
156,0,1,1.43,3,1
157,0,6,1.43,3,3
